,company,year,Price,kms_driven,fuel_type
0,Hyundai,2007,80000,45000,Petrol
1,Mahindra,2006,425000,40,Diesel
2,Hyundai,2014,325000,28000,Petrol
3,Ford,2014,575000,36000,Diesel
4,Ford,2012,175000,41000,Diesel
5,Hyundai,2013,190000,25000,Petrol
6,Ford,2016,830000,24530,Diesel
7,Maruti,2015,250000,60000,Petrol
8,Skoda,2010,182000,60000,Petrol
9,Maruti,2015,315000,30000,Petrol
10,Hyundai,2014,415000,32000,Petrol
11,Mahindra,2015,320000,48660,Diesel
12,Hyundai,2007,80000,45000,Petrol
13,Mahindra,2006,425000,40,Diesel
14,Audi,2017,1000000,4000,Petrol
15,Audi,2014,500000,16934,Diesel
16,Mahindra,2016,350000,43000,Diesel
17,Maruti,2014,160000,35550,Petrol
18,Mahindra,2016,350000,43000,Diesel
19,Mahindra,2016,310000,39522,Diesel
20,Maruti,2015,75000,39000,Petrol
21,Hyundai,2012,100000,55000,Petrol
22,Hyundai,2012,100000,55000,Petrol
23,Hyundai,2012,100000,55000,Petrol
24,Maruti,2017,190000,72000,Petrol
25,Maruti,2016,290000,15975,Diesel
26,Maruti,2008,95000,70000,Petrol
27,Mahindra,2017,180000,23452,Diesel
28,Maruti,2014,385000,35522,Diesel
29,Mahindra,2015,250000,48508,Diesel
30,Maruti,2017,180000,15487,Petrol
31,Maruti,2013,105000,39000,Petrol
32,Maruti,2013,105000,39000,Petrol
33,Toyota,2012,650000,82000,Diesel
34,Renault,2018,689999,20000,Diesel
35,Skoda,2012,448000,68000,Diesel
36,Maruti,2017,549000,32000,Diesel
37,Renault,2012,501000,38000,Diesel
38,Renault,2013,489999,27000,Diesel
39,Honda,2011,280000,33000,Petrol
40,Maruti,2015,250000,60000,Petrol
41,Maruti,2013,349999,46000,Diesel
42,Honda,2013,284999,46000,Diesel
43,Honda,2015,345000,36000,Diesel
44,Honda,2015,499999,55000,Petrol
45,Maruti,2010,249999,36000,Petrol
46,Mahindra,2017,180000,23452,Diesel
47,Maruti,2014,385000,35522,Diesel
48,Mahindra,2015,250000,48508,Diesel
49,Maruti,2017,180000,15487,Petrol
50,Maruti,2013,105000,39000,Petrol
51,Maruti,2013,105000,39000,Petrol
52,Mahindra,2015,395000,35000,Diesel
53,Maruti,2017,220000,30874,Petrol
54,Honda,2017,170000,15000,Diesel
55,Maruti,2013,85000,29685,Petrol
56,Ford,2012,175000,41000,Diesel
57,Hyundai,2013,190000,25000,Petrol
58,Tata,2017,200000,130000,Diesel
59,Ford,2016,830000,24530,Diesel
60,Tata,2017,200000,130000,Diesel
61,Mahindra,2012,570000,19000,Diesel
62,Volkswagen,2014,315000,60000,Petrol
63,Skoda,2010,182000,60000,Petrol
64,Maruti,2015,315000,30000,Petrol
65,Chevrolet,2010,110000,41000,Petrol
66,Renault,2012,501000,35000,Diesel
67,Honda,2015,448999,54000,Petrol
68,Skoda,2011,159500,38200,Diesel
69,Honda,2015,344999,22000,Petrol
70,Honda,2015,344999,22000,Petrol
71,Renault,2014,449999,50000,Diesel
72,Mahindra,2015,865000,30000,Diesel
73,Mahindra,2014,699000,50000,Diesel
74,Mahindra,2013,375000,20000,Diesel
75,Ford,2017,489999,39000,Petrol
76,Honda,2012,224999,30000,Petrol
77,Hyundai,2009,195000,32000,Petrol
78,Toyota,2010,351000,38000,Diesel
79,Hyundai,2008,160000,45000,Petrol
80,Toyota,2009,240000,35000,Petrol
81,Honda,2005,90000,50000,Petrol
82,Hyundai,2014,415000,32000,Petrol
83,Skoda,2011,155000,45863,Diesel
84,Maruti,2011,189500,12500,Petrol
85,Toyota,2013,350000,60000,Diesel
86,Ford,2012,210000,35000,Diesel
87,Maruti,2014,390000,35000,Petrol
88,Chevrolet,2012,135000,45000,Diesel
89,Mahindra,2013,701000,38000,Diesel
90,Hyundai,2014,265000,18000,Petrol
91,Hyundai,2015,525000,35000,Diesel
92,Maruti,2013,372000,13349,Petrol
93,Maruti,2016,635000,29000,Petrol
94,Ford,2014,550000,44000,Diesel
95,Maruti,2016,575000,29000,Petrol
96,Maruti,2013,485000,42000,Diesel
97,Maruti,2012,155000,14000,Petrol
98,Hyundai,2014,345000,49000,Diesel
99,Honda,2014,325000,42000,Petrol
100,Hyundai,2012,329500,36200,Diesel
101,Ford,2014,195000,50000,Diesel
102,Maruti,2015,251111,55000,Petrol
103,Maruti,2014,569999,45000,Petrol
104,Maruti,2007,69999,51000,Petrol
105,Maruti,2014,299999,19000,Petrol
106,Maruti,2009,220000,46000,Petrol
107,Maruti,2013,399999,33000,Diesel
108,Maruti,2013,372000,13349,Petrol
109,Maruti,2015,450000,104000,Diesel
110,Toyota,2014,270000,55000,Petrol
111,Hyundai,2011,350000,33333,Diesel
112,Chevrolet,2012,158400,33600,Petrol
113,Maruti,2017,350000,5600,Petrol
114,Maruti,2007,125000,70000,Petrol
115,Maruti,2018,200000,7500,Petrol
116,Honda,2013,299000,45000,Diesel
117,Maruti,2015,220000,38000,Petrol
118,Chevrolet,2015,150000,30000,Petrol
119,Honda,2010,285000,35000,Petrol
120,Ford,2016,830000,24330,Diesel
121,Hyundai,2009,210000,65480,Petrol
122,Maruti,2013,340000,41000,Petrol
